Layer,M,N,K,
Attn_Q_proj,128,96,96,
Attn_K_proj,128,96,96,
Attn_V_proj,128,96,96,
QKT_head,128,128,16,
QKTV_head,128,16,128,
Attn_O_proj,128,96,96,
Router_logits,128,8,96,
MoE-E0-FF1,16,432,96,
MoE-E0-FF2,16,96,224,
MoE-E1-FF1,24,528,96,
MoE-E1-FF2,24,96,272,
MoE-E2-FF1,25,624,96,
MoE-E2-FF2,25,96,320,
MoE-E3-FF1,12,720,96,
MoE-E3-FF2,12,96,368,
MoE-E4-FF1,17,816,96,
MoE-E4-FF2,17,96,416,
MoE-E5-FF1,14,912,96,
MoE-E5-FF2,14,96,464,
MoE-E6-FF1,11,1008,96,
MoE-E6-FF2,11,96,512,
MoE-E7-FF1,9,1104,96,
MoE-E7-FF2,9,96,560,
